id,name,url,institution
1089,Introdução ao Desenvolvimento de Aplicativos Android,https://www.classcentral.com/course/introducao-aplicativos-android-10721,Universidade Estadual de Campinas
1090,Web Development with Java Spring Framework,https://www.classcentral.com/course/web-development-with-java-spring-framework-22866,St. Petersburg State Polytechnic University
1091,系统平台与计算环境,https://www.classcentral.com/course/jisuanji-wangluo-4198,Xi’an Jiaotong University
1092,Vector Calculus for Engineers,https://www.classcentral.com/course/vector-calculus-engineers-17387,The Hong Kong University of Science and Technology
1093,Introduction to Engineering Mechanics,https://www.classcentral.com/course/statics1-564,Georgia Institute of Technology
1094,Mechanics of Materials I: Fundamentals of Stress & Strain and Axial Loading,https://www.classcentral.com/course/mechanics-1-5031,Georgia Institute of Technology
1095,Introduction to Indoor Air Quality,https://www.classcentral.com/course/intro-indoor-air-quality-9706,The Hong Kong University of Science and Technology
1096,Applications in Engineering Mechanics,https://www.classcentral.com/course/statics2-1148,Georgia Institute of Technology
1097,Engineering Systems in Motion: Dynamics of Particles and Bodies in 2D Motion,https://www.classcentral.com/course/dynamics-7788,Georgia Institute of Technology
1098,Advanced Engineering Systems in Motion: Dynamics of Three Dimensional (3D) Motion,https://www.classcentral.com/course/3dmotion-2064,Georgia Institute of Technology
1099,Mechanics of Materials II: Thin-Walled Pressure Vessels and Torsion,https://www.classcentral.com/course/mechanics2-5385,Georgia Institute of Technology
1100,"Mechanics of Materials IV: Deflections, Buckling, Combined Loading & Failure Theories",https://www.classcentral.com/course/materials-structures-6188,Georgia Institute of Technology
1101,Mechanics of Materials III: Beam Bending,https://www.classcentral.com/course/beam-bending-6184,Georgia Institute of Technology
1102,Mastering Statics,https://www.classcentral.com/course/mastering-statics-13737,The Hong Kong University of Science and Technology
1103,Maps and the Geospatial Revolution,https://www.classcentral.com/course/maps-676,Pennsylvania State University
1104,Municipal Solid Waste Management in Developing Countries,https://www.classcentral.com/course/mswm-4080,École Polytechnique Fédérale de Lausanne
1105,Introduction to solar cells,https://www.classcentral.com/course/solar-cells-9050,Technical University of Denmark (DTU)
1106,Machine Design Part I,https://www.classcentral.com/course/machine-design1-7404,Georgia Institute of Technology
1107,Introduction to Systems Engineering,https://www.classcentral.com/course/introse-1381,University of New South Wales
1108,Organic Solar Cells – Theory and Practice,https://www.classcentral.com/course/opv-1822,Technical University of Denmark (DTU)
1109,Wind Energy,https://www.classcentral.com/course/wind-energy-5552,Technical University of Denmark (DTU)
1110,Analyse numérique pour ingénieurs,https://www.classcentral.com/course/analysenumerique-846,École Polytechnique Fédérale de Lausanne
1111,Planning & Design of Sanitation Systems and Technologies,https://www.classcentral.com/course/sanitation-2230,École Polytechnique Fédérale de Lausanne
1112,Fundamentals of Fluid Power,https://www.classcentral.com/course/fluidpower-1770,University of Minnesota
1113,Robótica,https://www.classcentral.com/course/robotica-inicial-4659,Universidad Nacional Autónoma de México
1114,Sistemas Digitales: De las puertas lógicas al procesador,https://www.classcentral.com/course/sistemas-digitales-1457,Universitat Autònoma de Barcelona (Autonomous University of Barcelona)
1115,Optique non-linéaire,https://www.classcentral.com/course/onl-2232,École Polytechnique
1116,Geodesign: Change Your World,https://www.classcentral.com/course/geodesign-2016,Pennsylvania State University
1117,MOS Transistors,https://www.classcentral.com/course/mosfet-547,Columbia University
